,,,,,,,Games,,Passing,,,,,,,,,,,,,,,,,,,,
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Y/A,AY/A,ANY/A,Y/G,W,L,T,4QC,GWD
1064,J.J. Moses,2002,2005,,TOT,NFL,34,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1065,Kendrick Mosley,2006,2006,,CLE,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1066,Dale Moss,2012,2012,,CHI,NFL,,,0,0,,0,0,0,,,,,0,0,,,,,0,0,,0,0
1067,Santana Moss,2001,2014,16-Jan,TOT,NFL,197,135,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1068,Sinorice Moss,2006,2009,Feb-44,NYG,NFL,37,2,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1069,Eric Moulds,1996,2007,24-Jan,TOT,NFL,186,157,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1070,Derek Moye,2012,2014,,TOT,NFL,7,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,0,0
1071,Muhsin Muhammad,1996,2009,Feb-43,TOT,NFL,202,188,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1072,Keith Mumphery,2015,2016,5-175,HTX,NFL,27,6,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1073,Frank Murphy,2000,2004,6-170,TOT,NFL,20,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1074,Louis Murphy,2009,2017,4-124,TOT,NFL,95,35,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1075,Terrence Murphy,2005,2005,Feb-58,GNB,NFL,3,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1076,Tyler Murphy,2015,2015,,PIT,NFL,2,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1077,Will Murphy,2014,2014,,PHI,NFL,0,,0,0,,0,0,0,,,,,0,0,,,,,,,,0,0
1078,Yo Murphy,1999,2002,,TOT,NFL,35,1,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1079,Legedu Naanee,2007,2012,5-172,TOT,NFL,73,21,2,2,100,48,0,0,,0,0,118.7,0,0,24,24,24,0.7,0,0,0,,
1080,Martin Nance,2006,2006,,MIN,NFL,1,1,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1081,Marcus Nash,1998,1999,30-Jan,TOT,NFL,11,1,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1082,Jojo Natson,2017,2019,,TOT,NFL,25,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1083,Ricky Nattiel,1989,1992,27-Jan,DEN,NFL,43,3,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1084,Ben Nelson,2004,2004,,MIN,NFL,3,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1085,David Nelson,2010,2014,,TOT,NFL,50,28,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1086,JJ Nelson,2015,2019,5-159,TOT,NFL,58,16,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1087,Jordy Nelson,2008,2018,Feb-36,TOT,NFL,151,102,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1088,Reggie Newhouse,2004,2005,,CRD,NFL,6,1,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1089,Pat Newman,1991,1994,10-249,TOT,NFL,34,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1090,Jamar Newsome,2011,2012,,TOT,NFL,8,2,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,,
1091,Kendall Newson,2003,2003,7-222,MIA,NFL,6,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1092,Hakeem Nicks,2009,2015,29-Jan,TOT,NFL,92,67,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1093,Dennis Northcutt,2000,2009,Feb-32,TOT,NFL,144,61,0,1,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,0,0,0,,
1094,Jordan Norwood,2009,2016,,TOT,NFL,42,15,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,0,0
1095,Kevin Norwood,2014,2015,4-123,TOT,NFL,10,2,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1096,Uzoma Nwachukwu,2014,2014,,HTX,NFL,0,,0,0,,0,0,0,,,,,0,0,,,,,,,,0,0
1097,Terry Obee,1991,1993,,TOT,NFL,17,5,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1098,Ben Obomanu,2007,2013,7-249,TOT,NFL,69,13,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1099,Jeff Ogden,1998,2002,,TOT,NFL,67,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1100,Kevin Ogletree,2009,2014,,TOT,NFL,69,4,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1101,Bobby Olive,1995,1996,11-300,CLT,NFL,2,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1102,Gunner Olszewski,2019,2019,,NWE,NFL,4,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1103,Kassim Osgood,2003,2014,,TOT,NFL,179,17,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1104,Chad Owens,2005,2007,6-185,JAX,NFL,6,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1105,Darrick Owens,1992,1992,,PIT,NFL,3,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1106,Terrell Owens*,1996,2010,Mar-89,TOT,NFL,219,201,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1107,Chris Owusu,2012,2015,,TOT,NFL,25,6,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,,
1108,Eric Page,2013,2014,,TAM,NFL,16,1,0,0,,0,0,0,,,,,0,0,,,,0,,,,0,0
1109,Stephone Paige,1989,1991,,KAN,NFL,33,30,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1110,Nathan Palmer,2012,2014,,TOT,NFL,5,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,0,0
1111,Tobais Palmer,2013,2014,,TOT,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,0,0
1112,Carl Parker,1989,1989,12-307,CIN,NFL,3,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1113,DeVante Parker,2015,2019,14-Jan,MIA,NFL,58,35,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1114,Eric Parker,2002,2006,,SDG,NFL,62,40,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1115,Jeff Parker,1992,1992,,TAM,NFL,3,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1116,Larry Parker,1999,2001,4-108,KAN,NFL,38,4,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1117,Orlando Parker,1994,1994,4-117,NYJ,NFL,2,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1118,Preston Parker,2010,2015,,TOT,NFL,45,8,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1119,Samie Parker,2004,2007,4-105,KAN,NFL,47,31,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1120,Cord Parks,2009,2009,,RAM,NFL,2,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1121,Roscoe Parrish,2005,2012,Feb-55,TOT,NFL,90,14,1,1,100,3,0,0,,0,0,79.2,0,0,3,3,3,0,0,0,0,,
1122,Rich Parson,2005,2005,,WAS,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1123,Zach Pascal,2018,2019,,CLT,NFL,20,7,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1124,Jerome Pathon,1998,2005,Feb-32,TOT,NFL,100,62,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1125,Tim Patrick,2018,2019,,DEN,NFL,17,4,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1126,Cordarrelle Patterson,2013,2019,29-Jan,TOT,NFL,99,32,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1127,Andre Patton,2019,2019,,SDG,NFL,2,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1128,Quinton Patton,2013,2016,4-128,SFO,NFL,40,18,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1129,Solomon Patton,2014,2014,,2TM,NFL,13,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,0,0
1130,Niles Paul,2011,2018,5-155,TOT,NFL,88,27,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,,
1131,Logan Payne,2008,2008,,SEA,NFL,2,2,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1132,Jordan Payton,2016,2016,5-154,CLE,NFL,4,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1133,Andrew Peacock,2014,2014,,DET,NFL,0,,0,0,,0,0,0,,,,,0,0,,,,,,,,0,0
1134,Charone Peake,2016,2018,7-241,NYJ,NFL,31,1,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1135,Danny Peebles,1989,1991,Feb-33,TOT,NFL,30,2,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1136,Chris Penn,1994,1999,Mar-96,TOT,NFL,70,24,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1137,Breshad Perriman,2016,2019,26-Jan,TOT,NFL,41,6,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1138,Brett Perriman,1989,1997,Feb-52,TOT,NFL,137,116,0,1,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,0,0,0,,
1139,Tab Perry,2005,2007,6-190,CIN,NFL,20,1,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1140,Austin Pettis,2011,2014,Mar-78,TOT,NFL,51,11,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,0,0
1141,Dante Pettis,2018,2019,Feb-44,SFO,NFL,15,8,1,1,100,16,0,0,,0,0,118.7,0,0,16,16,16,1.1,,,,,
1142,Anwar Phillips,2008,2008,,RAV,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1143,Cam Phillips,2018,2018,,BUF,NFL,2,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1144,Jason Phillips,1989,1993,10-253,TOT,NFL,58,8,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1145,Mareno Philyaw,2000,2000,6-172,ATL,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1146,Carl Pickens,1992,2000,Feb-31,TOT,NFL,129,117,2,3,66.67,18,0,0,,0,0,82.6,0,0,6,6,6,0.1,0,0,0,,
1147,Kealoha Pilares,2011,2012,5-132,CAR,NFL,20,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,,
1148,Frank Pillow,1989,1990,11-279,TAM,NFL,19,2,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1149,Larry Pinkard,2017,2017,,JAX,NFL,4,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1150,Todd Pinkston,2000,2004,Feb-36,PHI,NFL,78,62,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1151,Chad Plummer,1999,2000,6-204,CLT,NFL,4,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1152,Royce Pollard,2012,2012,,NYJ,NFL,,,0,0,,0,0,0,,,,,0,0,,,,,0,0,,0,0
1153,Willie Ponder,2003,2006,6-199,TOT,NFL,38,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1154,Keith Poole,1997,2001,4-116,TOT,NFL,54,26,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1155,Nate Poole,2002,2005,,TOT,NFL,36,3,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1156,Jerry Porter,2000,2008,Feb-47,TOT,NFL,115,68,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1157,DeVier Posey,2012,2014,Mar-68,HTX,NFL,26,1,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,,
1158,Darius Powe,2017,2017,,NYG,NFL,1,1,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1159,Brandon Powell,2018,2018,,DET,NFL,6,1,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1160,Ronnie Powell,1999,1999,,CLE,NFL,14,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1161,Walt Powell,2014,2016,6-196,TOT,NFL,15,2,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1162,Quron Pratt,2014,2014,,PHI,NFL,0,,0,0,,0,0,0,,,,,0,0,,,,,,,,0,0
1163,De'Andre Presley,2012,2014,,TOT,NFL,8,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,,
1164,Michael Preston,2012,2013,,OTI,NFL,11,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,,
1165,Roell Preston,1995,1999,5-145,TOT,NFL,53,2,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1166,Peerless Price,1999,2007,Feb-53,TOT,NFL,123,102,1,1,100,25,0,0,,0,0,118.7,0,0,25,25,25,0.2,0,0,0,,
1167,Taylor Price,2010,2012,Mar-90,TOT,NFL,6,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,0,0
1168,Greg Primus,1994,1995,,CHI,NFL,7,1,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1169,Byron Pringle,2019,2019,,KAN,NFL,4,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1170,Mike Pritchard,1991,1999,13-Jan,TOT,NFL,127,94,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1171,Ricky Proehl,1990,2006,Mar-58,TOT,NFL,244,109,0,3,0,0,0,1,,0,33.33,0,1,1,0,-15,-11.5,0,0,0,0,,
1172,James Pruitt,1989,1991,4-107,TOT,NFL,27,3,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1173,Julius Pruitt,2011,2011,,MIA,NFL,9,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1174,Maurice Purify,2009,2009,,CIN,NFL,5,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1175,Brad Pyatt,2003,2004,,CLT,NFL,16,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1176,Jeff Query,1989,1995,5-124,TOT,NFL,86,22,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1177,Brian Quick,2012,2018,Feb-33,TOT,NFL,84,28,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,,
1178,Mike Quick,1989,1990,20-Jan,PHI,NFL,10,9,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1179,Trey Quinn,2018,2019,7-256,WAS,NFL,7,5,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1180,Latario Rachal,1997,1998,,SDG,NFL,25,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1181,Ken-Yon Rambo,2001,2002,7-229,DAL,NFL,29,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1182,Rueben Randle,2012,2015,Feb-63,NYG,NFL,64,33,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,,
1183,Damion Ratley,2018,2019,6-175,CLE,NFL,17,5,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1184,Jimmy Raye,1991,1991,,RAM,NFL,2,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1185,Kalif Raymond,2016,2017,,TOT,NFL,12,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1186,Jamaica Rector,2006,2007,,TOT,NFL,3,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1187,Jimmy Redmond,2002,2003,,JAX,NFL,26,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1188,Marcel Reece,2009,2016,,TOT,NFL,96,67,1,1,100,22,0,0,,0,0,118.7,0,0,22,22,22,0.2,0,0,0,,
1189,Andre Reed*,1989,2000,Apr-86,TOT,NFL,176,161,1,1,100,32,0,0,,0,0,118.7,1,20,32,32,6,0.2,0,0,0,,
1190,Bert Reed,2012,2012,,PIT,NFL,,,0,0,,0,0,0,,,,,0,0,,,,,0,0,,0,0
1191,David Reed,2010,2013,5-156,TOT,NFL,36,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1192,Jake Reed,1991,2002,Mar-68,TOT,NFL,155,91,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1193,Josh Reed,2002,2009,Feb-36,BUF,NFL,115,52,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1194,Kerry Reed,2007,2007,,MIA,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1195,Robert Reed,1999,1999,,SDG,NFL,3,0,0,0,,0,0,0,,,,,1,11,,,-11,0,0,0,0,,
1196,Bernard Reedy,2014,2017,,TOT,NFL,11,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,0,0
1197,Jerry Reese,1997,1997,,BUF,NFL,5,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1198,Tevin Reese,2014,2014,7-240,CIN,NFL,0,,0,0,,0,0,0,,,,,0,0,,,,,,,,0,0
1199,Bryan Reeves,1994,1995,,CRD,NFL,19,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1200,Willie Reid,2006,2007,Mar-95,PIT,NFL,7,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1201,Reggie Rembert,1991,1993,28-Feb,CIN,NFL,28,4,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1202,Hunter Renfrow,2019,2019,,RAI,NFL,4,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1203,Darius Reynaud,2008,2013,,TOT,NFL,48,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1204,Josh Reynolds,2017,2019,4-117,RAM,NFL,37,9,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1205,Keenan Reynolds,2018,2018,6-182,SEA,NFL,2,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1206,Steve Rhem,1994,1995,,NOR,NFL,15,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1207,Jerry Rice,2014,2014,,WAS,NFL,0,,0,0,,0,0,0,,,,,0,0,,,,,,,,0,0
1208,Sidney Rice,2007,2013,Feb-44,TOT,NFL,81,57,4,7,57.14,174,0,0,,0,0,101.8,0,0,24.86,24.86,24.86,2.1,0,0,0,,
1209,Paul Richardson,1993,1993,,PHI,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1210,Paul Richardson,2014,2019,Feb-45,TOT,NFL,58,26,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1211,Rico Richardson,2014,2015,,OTI,NFL,6,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1212,Mikhael Ricks,1998,2003,Feb-59,TOT,NFL,82,43,0,1,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,0,0,0,,
1213,Brandon Rideau,2008,2008,,CHI,NFL,2,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1214,Dante Ridgeway,2005,2005,6-192,NYJ,NFL,8,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1215,Calvin Ridley,2018,2019,26-Jan,ATL,NFL,20,8,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1216,Eron Riley,2011,2011,,NYJ,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1217,Phillip Riley,1996,1996,6-199,NYJ,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1218,Andre Rison,1989,2000,22-Jan,TOT,NFL,186,156,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1219,Alfredo Roberts,1989,1992,8-197,TOT,NFL,64,29,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1220,Andre Roberts,2010,2019,Mar-88,TOT,NFL,137,41,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1221,Seth Roberts,2014,2019,,TOT,NFL,66,25,0,0,,0,0,0,,,,,0,0,,,,0,,,,0,0
1222,Aldrick Robinson,2012,2018,6-178,TOT,NFL,84,5,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,0,0
1223,Allen Robinson,2014,2019,Feb-61,TOT,NFL,60,56,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1224,Demarcus Robinson,2016,2019,4-126,KAN,NFL,52,16,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1225,Denard Robinson,2013,2016,5-135,JAX,NFL,55,13,0,2,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,,,,,
1226,Gerrell Robinson,2012,2014,,TOT,NFL,3,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,0,0
1227,Kevin Robinson,2008,2008,6-182,KAN,NFL,8,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1228,Koren Robinson,2001,2008,9-Jan,TOT,NFL,96,70,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1229,Laurent Robinson,2007,2012,Mar-75,TOT,NFL,59,28,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1230,Marcus Robinson,1998,2006,4-108,TOT,NFL,107,52,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1231,Ryne Robinson,2007,2007,4-118,CAR,NFL,16,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1232,Stacy Robinson,1989,1990,Feb-46,NYG,NFL,11,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1233,Brian Robiskie,2009,2013,Feb-36,TOT,NFL,38,14,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1234,Courtney Roby,2005,2014,Mar-68,TOT,NFL,92,6,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1235,James Rodgers,2012,2012,,ATL,NFL,,,0,0,,0,0,0,,,,,0,0,,,,,,,,0,0
1236,James Roe,1996,1998,6-186,RAV,NFL,23,7,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1237,Charles Rogers,2003,2005,2-Jan,DET,NFL,15,9,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1238,Charlie Rogers,1999,2003,5-152,TOT,NFL,67,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1239,Chester Rogers,2016,2019,,CLT,NFL,45,17,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1240,Da'Rick Rogers,2013,2013,,CLT,NFL,5,3,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1241,Eli Rogers,2016,2018,,PIT,NFL,30,15,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1242,Naaman Roosevelt,2010,2014,,BUF,NFL,16,1,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,0,0
1243,Barry Rose,1993,1993,10-279,DEN,NFL,3,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1244,Jeremy Ross,2012,2016,,TOT,NFL,51,16,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,,
1245,Jermaine Ross,1994,1997,,RAM,NFL,23,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1246,John Ross,2017,2019,9-Jan,CIN,NFL,20,15,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1247,Micah Ross,2001,2004,,TOT,NFL,45,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1248,Rashad Ross,2014,2016,,TOT,NFL,22,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,0,0
1249,Patrick Rowe,1993,1993,Feb-52,CLE,NFL,5,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1250,Eugene Rowell,1990,1990,9-240,CLE,NFL,3,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1251,Eddie Royal,2008,2016,Feb-42,TOT,NFL,116,71,0,1,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,0,0,0,,
1252,Travis Rudolph,2017,2017,,NYG,NFL,7,1,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1253,Alonzo Russell,2018,2018,,NYG,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1254,Cliff Russell,2003,2008,Mar-87,TOT,NFL,23,1,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1255,Derek Russell,1991,1997,Apr-89,TOT,NFL,88,47,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1256,Sean Ryan,2004,2009,5-144,TOT,NFL,53,15,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1257,Larry Ryans,1996,1996,,TAM,NFL,3,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1258,Greg Salas,2011,2016,4-112,TOT,NFL,29,3,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,0,0
1259,P.K. Sam,2004,2004,5-164,NWE,NFL,2,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1260,DeMarco Sampson,2011,2011,7-249,CRD,NFL,12,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1261,Curtis Samuel,2017,2019,Feb-40,CAR,NFL,26,16,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1262,Deebo Samuel,2019,2019,,SFO,NFL,3,2,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1263,Chris Sanders,1995,2001,Mar-67,OTI,NFL,97,55,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1264,Chris Sanders,1997,1997,,WAS,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,0,0
1265,Deion Sanders*,1989,2005,5-Jan,TOT,NFL,188,157,0,2,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,0,0,0,,
1266,Frank Sanders,1995,2003,Feb-47,TOT,NFL,136,120,1,3,33.33,26,0,0,,0,0,66,0,0,8.67,8.67,8.67,0.2,0,0,0,,
1267,Ricky Sanders,1989,1995,16-Jan,TOT,NFL,96,54,1,1,100,32,0,0,,0,0,118.7,0,0,32,32,32,0.3,0,0,0,,
1268,Steve Sanders,2008,2008,,CLE,NFL,5,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1269,Dane Sanzenbacher,2011,2014,,TOT,NFL,43,5,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,0,0
1270,Jake Schifino,2003,2004,5-151,OTI,NFL,14,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1271,Chaz Schilens,2008,2012,7-226,TOT,NFL,59,25,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1272,Bill Schroeder,1997,2004,6-181,TOT,NFL,111,78,0,1,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,0,0,0,,
1273,Da'Mari Scott,2018,2018,,BUF,NFL,3,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
1274,Darnay Scott,1994,2002,Feb-30,TOT,NFL,124,104,1,1,100,53,0,0,,0,0,118.7,0,0,53,53,53,0.4,0,0,0,,
1275,Freddie Scott,1996,1998,,TOT,NFL,13,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
1276,Gari Scott,2001,2001,Apr-99,PHI,NFL,3,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
